,age,gender,窦性心律,T波改变,窦性心动过缓,ST段改变,正常ECG,左心室高电压,ST-T改变,窦性心动过速,临界ECG,QRS低电压,房性早搏,电轴左偏,电轴右偏,心房颤动,异常ECG,室性早搏,完全性右束支传导阻滞,窦性心律不齐,左心室肥大,右束支传导阻滞,一度房室传导阻滞,快心室率,不完全性右束支传导阻滞,非特异性T波异常,QT间期延长,左前分支传导阻滞,非特异性ST段异常,差异性传导,非特异性ST段与T波异常,起搏心律,短PR间期,下壁异常Q波,快室率心房颤动,逆钟向转位,室内差异性传导,早期复极化,二联律,室上性早搏,顺钟向转位,复极化异常,未下传的房性早搏,肺心病型,慢心室率,短串房性心动过速,非特异性室内传导延迟,右心房扩大,左束支传导阻滞,前间壁R波递增不良,右心室肥大,房室传导延缓,双分支传导阻滞,非特异性室内传导阻滞,肺型P波,完全性左束支传导阻滞,融合波
age,1.0,0.48338676764116223,-0.014967708022007566,0.04029364459438655,-0.009154003733946883,0.08795300860479602,-0.16836193812812963,0.05602678742538652,0.15203984990297395,-0.11153146515483528,-0.11743409927365521,0.023657286712194723,0.17557573294185366,0.048405346808636736,-0.15586371173967023,0.2239089178915903,0.026121232507101855,0.10622109670196477,0.10748874160577172,-0.10749501197478614,0.09706274936381096,0.027497928439396,0.08610079308900023,0.07842621715574115,0.04072840501226127,0.0028343180181598345,0.021257635333783963,0.07430842430653752,-0.012807350596886145,0.0015042650053890111,3.6684918814671804e-05,0.06699693745354691,-0.03503589809256467,0.03737646549657383,0.047084496666063416,0.0012956249717573042,0.014182922774942274,-0.021155033787750153,0.011983385445814421,0.004779241824280546,0.017332810355893086,0.013695758677354074,0.00672007955891599,-0.008063751246654823,0.034293559686747806,0.014036189156364554,0.0034344342763252974,-0.007054117557906507,0.013409938902331752,0.022221260784774845,-0.006139918191133341,0.016113519230111284,0.020451754396867312,0.024026688865560815,0.0061239045786880214,0.03269663514941476,-0.03321868465068981
gender,0.48338676764116223,1.0,-0.06447789471469338,-0.02935818900364418,0.10161943964771979,-0.10300751126572533,-0.1123295449855578,0.30174185887159627,-0.02167837711241614,-0.07026005884864527,-0.06302385705248582,-0.04542201719007695,0.024277026411673584,0.02033394723420093,-0.02497456867184997,0.03590559840373379,-0.024524471899640188,0.02818857944525884,0.022199591730722043,0.015464874117651132,0.027108325488684124,-0.026469365052049332,0.03191833749256356,-0.003208330327962582,0.028414471418888285,-0.017910465359311442,-0.025769538523291117,0.037453409598719865,-0.01821354371503166,-0.007171940052304392,-0.023097635411826703,0.01053387061021255,-0.01654645341391072,0.015487368901291106,0.00855479996124399,0.0032963188935874847,0.008869370262019486,0.029585218114692193,-0.0057577972475581045,0.0003871423959160834,0.0093097422434581,-0.0029488634959019986,0.011157527820666938,0.0019207522351584883,0.0056672595043687525,-0.013541018053711237,0.005633445967166242,-0.002261122380622435,-0.01018513922028217,0.012288232831586953,0.010970501702620665,0.009576981983211523,0.006856430269378238,0.019261100334756323,-8.869794698934844e-05,0.004626337330479813,-0.007834512451071347
窦性心律,-0.014967708022007566,-0.06447789471469338,1.0,0.026787618876661146,-0.6186894522106485,0.05595240023543449,0.2979148616990136,0.027161923097498136,-0.010758383782158437,-0.4623849576447724,-0.15714274951786109,0.03449039319609862,0.05431531593738092,0.05220072464796658,0.01843284048496048,-0.3537548115995947,-0.03873847498905709,0.003936790111793489,0.02323795972920693,-0.1655377430727433,-0.03430380248984803,0.022145596402088446,7.388962712609708e-05,-0.15024441517424614,-0.029727047768100038,-0.03374505580932065,0.018414187028861505,-0.018354938389098095,-0.03790990949673519,0.007105384993374223,-0.01770823563660078,-0.05562585297339206,-0.008742794270376664,-0.00231613586989944,-0.06409309028360842,-0.006914915440163958,-0.059331275017259544,-0.0277210891969148,0.002849207745154503,-0.005297491563985886,-0.00014020516924969587,-0.016618975248093852,-0.009988667823646423,0.0055603075282436715,-0.05415504688045201,0.01617340880185517,-0.025453689535179343,-0.01105181818672271,-0.005420231715290397,-0.014006180379018891,-0.0054202317152902205,0.00437230589892306,0.015633324340177026,-0.003179878025619823,0.007068001611495698,-0.028460452981283576,-0.03197851328017139
T波改变,0.04029364459438655,-0.02935818900364418,0.026787618876661146,1.0,-0.07181185823572539,-0.1523580228752748,-0.18570621261461423,-0.01174831995124879,-0.12598850076990376,-0.006986987680731675,-0.1193305228011457,-0.0582678471783845,0.0031719931806954956,-0.015901318500644836,-0.06143384382390247,0.0560813852378666,-0.08610152597551057,0.0152366089707728,-0.024050123059973658,-0.02298935086860223,-0.04239070544519188,-0.04100784137684697,0.014350393738503033,0.03492857341485776,0.02858706056918011,-0.02770582188307596,-0.022698241604337935,-0.0018738592584845455,-0.023170599159373206,-0.022719223527318727,-0.020483364875852776,0.016112866155662025,-0.019447489696409928,0.026594871086283535,0.0086641346215267,0.0068891151692667555,-0.00957069053794401,-0.01594485642663654,-0.006509902497630742,-0.015057075792171411,0.005875627213556652,-0.014113885408414613,-0.005716742165167469,-0.013617940527652563,0.0025037786773956057,0.008138485282917964,-0.010480701831854407,-0.009068946106304281,-0.011116924489580116,-0.002949854763297097,-0.0024130178428612473,0.0033908868362245255,-0.01171875382874246,-0.006325454330018925,-0.010803484404890524,-0.011718753828742615,-0.011116924489580479
窦性心动过缓,-0.009154003733946883,0.10161943964771979,-0.6186894522106485,-0.07181185823572539,1.0,-0.1103125944016215,-0.184465099648849,0.013360830364677717,-0.0741641589822009,-0.12163076379900385,0.18843882800703923,-0.04389545444364122,-0.014806972721670537,-0.03500278986826607,-0.041844111943422815,-0.09298954343970171,0.02191332721444528,-0.04429753378653682,-0.028617420823989603,-0.030679245888133682,0.005923612877563524,-0.012135292077014708,0.028421933389253626,-0.039493906834043885,-0.010358000819587512,0.06413247354975504,-0.011346298023954073,0.005734311498836533,0.006505463537296781,-0.018234358918817757,0.01777540553583415,-0.011568760476704154,0.0007682342101638361,-0.00871665238454982,-0.016847791203646326,-0.0024091443951408517,-0.015596079529218116,0.05139826575051064,0.011524534819271105,0.01741460977383172,-0.010843189901264056,0.02740608344285651,-0.009278133361747506,-0.0027775288813858497,-0.014235433467595303,-0.007854243697627498,0.04533098106876311,-0.012730972519777367,0.006489134141293397,-0.007064700068107863,-0.01102397239812448,0.0035307788630468116,-0.011620769653470394,0.002802194845878563,-0.010713153084243886,-0.007466999290682452,-0.002267419128410033
ST段改变,0.08795300860479602,-0.10300751126572533,0.05595240023543449,-0.1523580228752748,-0.1103125944016215,1.0,-0.17136752669261263,-0.11992392296677008,-0.11606430823781781,0.060109944430305984,-0.10946340751121938,-0.08713846935157772,-0.02370820248974226,-0.0738238657575458,-0.07150762152016633,-0.04140280170018117,-0.0791558707331329,-0.004824331229927858,-0.05996998279694012,-0.0024512972914381395,-0.0030183160717924614,-0.04716950031326078,-0.013750240544916872,-0.008051949999306652,0.0034982861924756194,-0.0270481717689221,-0.02039143273553807,-0.02298958247706314,-0.01912203437829759,-0.020929616165611908,-0.01886987749012595,-0.009376617450760037,-0.012622545857332728,-0.014890226672534491,0.0025147679100126514,0.026294839772142836,-0.014488711306965876,-0.014688870173050523,-0.0049951408696234266,-0.013871020571090353,-0.006061569463628223,-0.009359421110902658,-0.00030220639346637977,-0.012545246886066555,-0.0060615694636286,0.010337383160469088,-0.009655130432738203,-0.007823236487962576,-0.010241237436186401,0.020973811796911882,-0.005618624440706784,-0.007632100429175032,-0.01079566030414756,-0.009952487221806559,0.009073635974053754,-0.010795660304147648,-0.010241237436186235
正常ECG,-0.16836193812812963,-0.1123295449855578,0.2979148616990136,-0.18570621261461423,-0.184465099648849,-0.17136752669261263,1.0,-0.213915418628716,-0.14170791508845568,-0.13756331435261268,-0.13421923024090565,-0.11961799434720614,-0.1165657063392252,-0.10177032546088358,-0.09785732039025367,-0.10547362063435994,-0.0981479675485504,-0.09259466084581901,-0.10044819922653962,7.00430063602298e-05,-0.06178997602337597,-0.058810192461162626,-0.04976559362442671,-0.04479606193017687,-0.04173265089476371,-0.033024278406712376,-0.029670291058455447,-0.030398999253082,-0.026061563382016616,-0.02555387022472279,-0.023039046522590076,-0.025382411295928255,-0.021873926602367467,-0.021471643314823523,-0.01910964902299779,-0.017190770643790054,-0.017689891946990936,0.012880552688656271,-0.015317032492476814,-0.016935726711550803,-0.01614657577173979,-0.015874855743183685,-0.01473820932327326,-0.015317032492474769,-0.016146575771739377,-0.013506670243098816,-0.01178836478073864,-0.01444013720456518,-0.012503968076339207,-0.012846872651926959,-0.01250396807634002,-0.009318360277890897,-0.013180886845680927,-0.012151420497501689,-0.01215142049750718,-0.013180886845681188,-0.012503968076340244
左心室高电压,0.05602678742538652,0.30174185887159627,0.027161923097498136,-0.01174831995124879,0.013360830364677717,-0.11992392296677008,-0.213915418628716,1.0,-0.07068802351312439,-0.08669577508176547,-0.13642460938855036,-0.12229667659062933,-0.026112948252200265,-0.0907909424336676,-0.09370739344423154,-0.03969759702325546,-0.09929182841545053,-0.007286901645584447,-0.06399602415835944,0.05134089167184887,-0.06317367847125661,-0.05414413437781269,0.01447066901713278,-0.029082437944663666,0.023044451535662636,-0.033763812192162554,-0.028661095504228233,-0.01964284575483254,-0.026645176637248524,-0.02612611438242576,-0.01925147827944182,-0.000546863727243995,-0.01783217110183597,-0.017336361162128132,0.003791769992103737,-0.0002925226279771752,-0.018086033010082984,0.0009943366299459682,-0.015660036596352088,-0.017314979270237556,-0.016508156368768054,-0.016230351539845218,-0.004992377130506949,-0.01566003659635084,-0.016508156368767117,0.008176400769131753,-0.012052349171959026,-0.01476350443148409,-0.012783977429787697,-0.009282433909939896,-0.008826375334928345,0.011708163293227514,-0.013476054874017951,-0.012423535027559407,-0.0002067717341623272,-0.005966721106263023,-0.012783977429787569
ST-T改变,0.15203984990297395,-0.02167837711241614,-0.010758383782158437,-0.12598850076990376,-0.0741641589822009,-0.11606430823781781,-0.14170791508845568,-0.07068802351312439,1.0,0.014322700656466354,-0.09090439951361966,-0.06602605788723546,0.014270965255604815,-0.038467971286644406,-0.049777407479314105,0.11825554008522149,-0.06647394741770248,0.045506847429266084,-0.013391654026699621,-0.03356847282775196,0.2756357325306754,-0.037510524355994564,0.01679432047911967,0.05135721728768839,0.02363669110818853,-0.02236678151516909,-0.004191212893553321,0.006027211445491042,-0.017651053171525825,-0.01730720123975703,-0.01560395396205669,0.04912949396658929,-0.008663053283997696,0.02932326735813337,0.0644737968921829,0.015729930092641356,-0.008180658723454819,-0.012146578802887085,0.0027885594471909548,-0.011470279365161741,-0.0026105706227722587,-0.010751769519971418,-0.005422495267342398,-0.010373965329405915,0.0057146596236353885,0.02069824435547356,-0.007984058765014268,-0.00047332829750789274,-0.00846872469374307,0.012216585303633226,0.02376672098247312,0.008102569481006527,-0.008927190251446067,-0.002701731645207832,0.024939361232931518,0.006364059028605203,-0.008468724693742017
窦性心动过速,-0.11153146515483528,-0.07026005884864527,-0.4623849576447724,-0.006986987680731675,-0.12163076379900385,0.060109944430305984,-0.13756331435261268,-0.08669577508176547,0.014322700656466354,1.0,0.10311572565629834,-0.003468587492297294,-0.014153549123501889,-0.026758919827640747,0.023495622189307206,-0.06954614755219955,0.001852188386751522,-0.011419938687824274,-0.03256845242887921,-0.0602145899112436,-0.019251976080965683,-0.015050023583509793,-0.01188102997160395,-0.029537182036775154,-0.005958461381708854,-0.005061557904721303,-0.01491759952201777,-0.008705007494423662,0.07000808257208567,0.02626011615398798,0.017662547117021813,-0.014023966208299881,0.026462150496946175,-0.0013430799756483781,-0.012600330420365536,0.004658097333858441,-0.011664185112156087,-0.011825323671441955,-0.010099592631574195,-0.00305023512674296,0.01489036504571432,-0.0018097530172471157,0.032239173403142404,0.0033587147192645377,-0.010646568633278926,-0.008905893966816758,-0.007772894791220987,0.042815877771816196,-0.008244742179090889,-0.008470843189620363,0.013728475617394927,-0.006144247774303748,-0.008691082148554383,-0.008012282860928784,0.008945056089509162,-0.008691082148550591,0.06316821565946906
